Allegheny Commuter Airlines,\N,,ALO,ALLEGHENY,United States,Y
Alpliner AG,\N,,ALP,ALPINER,Switzerland,N
Altair Aviation (1986),\N,,ALQ,ALTAIR,Canada,N
Air Luxor STP,\N,,ALU,LUXORJET,Sao Tome and Principe,N
Alas de Venezuela,\N,,ALV,ALVEN,Venezuela,N
Alas Nacionales,\N,,ALW, S.A.,ALNACIONAL,N
Alyeska Air Service,\N,,ALY,ALYESKA,United States,N
Alta Flights (Charters) Ltd.,\N,,ALZ, ,Canada,N
Air Sunshine,\N,,RSI,AIR SUNSHINE,United States,Y
ATMA,\N,,AMA,ADIK,Kazakhstan,N
Aerolineas Medellin,\N,,AMD,AEROLINEAS MEDELLIN,Colombia,N
Ameriflight,\N,,AMF,AMFLIGHT,United States,N
Air Libert,\N,VD,,,France,Y
Air Lithuania,\N,TT,KLA,KAUNAS,Lithuania,N
Air Minas Linhas A,\N,,AMG,AIR MINAS,Brazil,N
Alan Mann Helicopters Ltd.,\N,,AMH,MANN,United Kingdom,N
Air Maldives,\N,,AMI,AIR MALDIVES,Maldives,N
Aviation Amos,\N,,AMJ,AVIATION AMOS,Canada,N
Amerer Air,\N,,AMK,AMER AIR,Austria,N
Air Malawi,\N,QM,AML,MALAWI,Malawi,Y
Aeroputul International Marculesti,\N,,AMM,AEROM,Moldova,N
Air Montenegro,\N,,AMN,MONTENEGRO,Montenegro,N
Air Montreal (Air Holdings Inc.),\N,,AMO,AIR MONTREAL,Canada,N
Aero Transporte S.A. (ATSA),\N,,AMP,ATSA,Peru,N
Aeromedicare Ltd.,\N,,AMQ,LIFELINE,United Kingdom,N
Air Sicilia,\N,BM,,,Italy,Y
Air Specialties Corporation,\N,,AMR,AIR AM,United States,N
Air Muskoka,\N,,AMS,AIR MUSKOKA,Canada,N
ATA Airlines,\N,,AMT,AMTRAN,United States,Y
Air Macau,\N,NX,AMU,AIR MACAO,Macao,Y
AMC Airlines,\N,,AMV,,Egypt,Y
Air Midwest,\N,ZV,AMW,AIR MIDWEST,United States,N
Air Seychelles,\N,HM,SEY,SEYCHELLES,Seychelles,Y
Air Sofia,\N,,SFB,AIR SOFIA,Bulgaria,N
AeroMéxico,\N,AM,AMX,AEROMEXICO,Mexico,Y
Air Ambar,\N,,AMY,AIR AMBAR,Dominican Republic,N
Amiya Airline,\N,,AMZ,AMIYA AIR,Nigeria,N
All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
Air Navigation And Trading Co. Ltd.,\N,,ANB,AIR NAV,United Kingdom,N
Anglo Cargo,\N,,ANC,ANGLO,United Kingdom,N
Air Nostrum,\N,YW,ANE,AIR NOSTRUM,Spain,Y
Air Niugini,\N,PX,ANG,NUIGINI,Papua New Guinea,Y
Air Arabia,\N,G9,ABY,ARABIA,United Arab Emirates,Y
Air Canada,\N,AC,ACA,AIR CANADA,Canada,Y
Airport Bratsk,\N,,BRP,AEROBRA,Russia,N
Air Wings,\N,,BSB,ARBAS,Moldova,N
Air Baltic,\N,BT,BTI,AIRBALTIC,Latvia,Y
Alajnihah for Air Transport,\N,,ANH,ALAJNIHAH,Libya,N
Air Atlantic (Nig) Limited,\N,,ANI,NIGALANTIC,Nigeria,N
Air Nippon,\N,EL,ANK,ANK AIR,Japan,Y
Antares Airtransport,\N,,ANM, Maintenance & Service GmbH,ANTARES,N
Airnorth,\N,TL,ANO,TOPEND,Australia,Y
Aerol,\N,,ANQ,ANTIOQUIA,Colombia,N
Andes Lineas Aereas,\N,,ANS,AEROANDES,Argentina,N
Air North Charter - Canada,\N,4N,ANT,AIR NORTH,Canada,Y
Air Nevada,\N,,ANV,AIR NEVADA,United States,N
AOM French Airlines,\N,IW,AOM,French Lines,France,N
Aviacion Del Noroeste,\N,,ANW, S.A. de C.V.,AVINOR,N
Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,Y
Avia Jaynar,\N,,SAP,TOBOL,Kazakhstan,N
Aero Servicios Empresariales,\N,,EMS,SERVIEMPRESARIAL,Mexico,N
Alcon Servicios Aereos,\N,,AOA, S.A. de C.V.,ALCON,N
AVCOM,\N,J6,AOC,AERO AVCOM,Russia,N
Aero Vodochody,\N,,AOD,AERO CZECH,Czech Republic,N
Air One Executive,\N,,AOE, ,Italy,N
Atair Pty Ltd.,\N,,AOF,ATAIR,South Africa,N
Aero VIP,\N,2D,AOG,AVIP,Argentina,N
Aeromundo Ejecutivo,\N,,MUN,AEROMUNDO,Mexico,N
Aerolinea Muri,\N,,MUR,MURI,Mexico,N
Astoria,\N,,AOI, Inc.,ASTORIA,N
Aero Rent JSC,\N,,NRO,AEROMASTER,Russia,N
Aeronord-Grup,\N,,NRP,AERONORD,Moldova,N
Aeroatlantico Colombia,\N,,AOK,,Colombia,N
Angkor Airlines,\N,,AOL,ANGKOR AIR,Cambodia,N
Aero Entreprise,\N,,AON,AERO ENTERPRISE,France,N
As,\N,,AOO, Opened Joint Stock Company,COMPANY AS,N
Aeropiloto,\N,,AOP,AEROPILOTO,Portugal,N
Aeroenlaces Nacionales,\N,,VIV,AEROENLACES,Mexico,N
Aerovis Airlines,\N,,VIZ,AEROVIZ,Ukraine,N
Avjet International (FZE),\N,,VJE,,United Arab Emirates,N
Aerovista Gulf Express,\N,,VGF,VISTA GULF,United Arab Emirates,N
Air Vegas,\N,6V,VGA,AIR VEGAS,United States,N
Almaver,\N,,VER,ALMAVER,Mexico,N
Afro International Ent. Limited,\N,,AOR,INTER-AFRO,Nigeria,N
Alitalia Express,\N,XM,SMX,ALIEXPRESS,Italy,Y
Asia Overnight Express,\N,OE,AOT,ASIA OVERNIGHT,Philippines,N
Air Tractor,\N,,AOU,AIR TRACTOR,Croatia,N
Aero Vision,\N,,AOV,AEROVISION,France,N
Aerotaxi Del Valle,\N,,AOX,AEROVALLE,Colombia,N
Air Park Aviation Ltd.,\N,,APA,CAN-AM,Canada,N
Airpac Airlines,\N,,APC, Inc.,AIRPAC,N
Aeroservicios Monterrey,\N,,SVM,SERVIMONTE,Mexico,N
Amapola Flyg AB,\N,,APF,AMAPOLA,Sweden,N
Air People International,\N,,APG,AIR PEOPLE,Thailand,N
